log_file,request_id,model,prompt_category,parameter,type,format,value,status,violations
llm-communication-20260505-122355.log,83,deepseek-chat,diverse_gen,travelDateEnd,string,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,84,deepseek-chat,positive_gen,travelDateEnd,string,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,85,deepseek-chat,positive_gen,travelDateStart,string,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,87,deepseek-chat,simple_gen,travelDateStart,string,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,91,deepseek-chat,diverse_gen,travelDateStart,string,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,92,deepseek-chat,positive_gen,travelDateStart,string,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,93,deepseek-chat,positive_gen,orderId,string,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,94,deepseek-chat,positive_gen,orderId,string,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,95,deepseek-chat,positive_gen,id,string,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,98,deepseek-chat,positive_gen,id,string,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,119,deepseek-chat,positive_gen,departureTime,string,date,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,122,deepseek-chat,simple_gen,departureTime,string,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,126,deepseek-chat,diverse_gen,departureTime,string,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,127,deepseek-chat,positive_gen,departureTime,string,date,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,128,deepseek-chat,positive_gen,endPlace,string,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,130,deepseek-chat,simple_gen,endPlace,string,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,134,deepseek-chat,diverse_gen,endPlace,string,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,135,deepseek-chat,positive_gen,endPlace,string,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,136,deepseek-chat,positive_gen,startPlace,string,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,138,deepseek-chat,simple_gen,startPlace,string,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,142,deepseek-chat,diverse_gen,startPlace,string,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,143,deepseek-chat,positive_gen,startPlace,string,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,144,deepseek-chat,positive_gen,averageSpeed,integer,int32,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,169,deepseek-chat,diverse_gen,averageSpeed,integer,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,184,deepseek-chat,positive_gen,averageSpeed,integer,int32,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,185,deepseek-chat,positive_gen,confortClass,integer,int32,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,213,deepseek-chat,simple_gen,confortClass,integer,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,217,deepseek-chat,diverse_gen,confortClass,integer,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,224,deepseek-chat,positive_gen,confortClass,integer,int32,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,226,deepseek-chat,simple_gen,economyClass,integer,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,230,deepseek-chat,diverse_gen,economyClass,integer,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,231,deepseek-chat,positive_gen,economyClass,integer,int32,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,258,deepseek-chat,positive_gen,economyClass,integer,int32,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,259,deepseek-chat,positive_gen,id,string,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,262,deepseek-chat,positive_gen,id,string,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,263,deepseek-chat,positive_gen,name,string,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,264,deepseek-chat,positive_gen,name,string,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,267,deepseek-chat,simple_gen,accountId,string,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,271,deepseek-chat,positive_gen,accountId,string,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,272,deepseek-chat,positive_gen,accountId,string,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,273,deepseek-chat,positive_gen,boughtDate,string,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,274,deepseek-chat,positive_gen,boughtDate,string,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,275,deepseek-chat,positive_gen,coachNumber,integer,int32,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,280,deepseek-chat,simple_gen,coachNumber,integer,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,284,deepseek-chat,diverse_gen,coachNumber,integer,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,305,deepseek-chat,positive_gen,coachNumber,integer,int32,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,306,deepseek-chat,positive_gen,contactsDocumentNumber,string,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,307,deepseek-chat,positive_gen,contactsDocumentNumber,string,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,308,deepseek-chat,positive_gen,contactsName,string,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,311,deepseek-chat,simple_gen,contactsName,string,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,315,deepseek-chat,diverse_gen,contactsName,string,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,316,deepseek-chat,positive_gen,contactsName,string,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,317,deepseek-chat,positive_gen,differenceMoney,string,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,318,deepseek-chat,positive_gen,differenceMoney,string,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,319,deepseek-chat,positive_gen,documentType,integer,int32,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,326,deepseek-chat,diverse_gen,documentType,integer,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,349,deepseek-chat,positive_gen,documentType,integer,int32,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,350,deepseek-chat,positive_gen,from,string,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,353,deepseek-chat,diverse_gen,from,string,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,354,deepseek-chat,positive_gen,from,string,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,355,deepseek-chat,positive_gen,price,string,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,358,deepseek-chat,diverse_gen,price,string,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,359,deepseek-chat,positive_gen,price,string,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,360,deepseek-chat,positive_gen,seatClass,integer,int32,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,367,deepseek-chat,diverse_gen,seatClass,integer,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,382,deepseek-chat,positive_gen,seatClass,integer,int32,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,383,deepseek-chat,positive_gen,seatNumber,string,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,386,deepseek-chat,diverse_gen,seatNumber,string,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,387,deepseek-chat,positive_gen,seatNumber,string,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,388,deepseek-chat,positive_gen,status,integer,int32,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,405,deepseek-chat,diverse_gen,status,integer,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,420,deepseek-chat,positive_gen,status,integer,int32,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,421,deepseek-chat,positive_gen,to,string,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,424,deepseek-chat,simple_gen,to,string,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,428,deepseek-chat,diverse_gen,to,string,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,429,deepseek-chat,positive_gen,to,string,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,430,deepseek-chat,positive_gen,trainNumber,string,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,433,deepseek-chat,simple_gen,trainNumber,string,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,437,deepseek-chat,diverse_gen,trainNumber,string,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,438,deepseek-chat,positive_gen,trainNumber,string,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,439,deepseek-chat,positive_gen,travelDate,string,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,440,deepseek-chat,positive_gen,travelDate,string,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,441,deepseek-chat,positive_gen,travelTime,string,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,444,deepseek-chat,simple_gen,travelTime,string,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,448,deepseek-chat,diverse_gen,travelTime,string,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,449,deepseek-chat,positive_gen,travelTime,string,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,516,deepseek-chat,positive_gen,accountId,string,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,519,deepseek-chat,simple_gen,accountId,string,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,523,deepseek-chat,positive_gen,distanceList,string,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,524,deepseek-chat,positive_gen,endStation,string,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,525,deepseek-chat,positive_gen,startStation,string,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,526,deepseek-chat,positive_gen,stationList,string,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,531,deepseek-chat,simple_gen,startStation,string,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,535,deepseek-chat,diverse_gen,startStation,string,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,538,deepseek-chat,simple_gen,endStation,string,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,542,deepseek-chat,diverse_gen,endStation,string,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,545,deepseek-chat,simple_gen,stationList,string,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,549,deepseek-chat,diverse_gen,stationList,string,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,552,deepseek-chat,positive_gen,stayTime,integer,int32,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,564,deepseek-chat,simple_gen,stayTime,integer,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,568,deepseek-chat,diverse_gen,stayTime,integer,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,1365,deepseek-chat,simple_gen,accountId,string,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,1369,deepseek-chat,positive_gen,consignee,string,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,1370,deepseek-chat,positive_gen,handleDate,string,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,1371,deepseek-chat,positive_gen,orderId,string,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,1372,deepseek-chat,positive_gen,phone,string,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,1373,deepseek-chat,positive_gen,targetDate,string,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,1374,deepseek-chat,positive_gen,weight,number,double,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,1377,deepseek-chat,positive_gen,within,boolean,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,1380,deepseek-chat,diverse_gen,from,string,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,1382,deepseek-chat,simple_gen,handleDate,string,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,1386,deepseek-chat,diverse_gen,handleDate,string,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,1391,deepseek-chat,simple_gen,to,string,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,1395,deepseek-chat,diverse_gen,to,string,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,1398,deepseek-chat,simple_gen,weight,number,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,1402,deepseek-chat,diverse_gen,weight,number,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,1405,deepseek-chat,simple_gen,targetDate,string,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,1409,deepseek-chat,diverse_gen,targetDate,string,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,1412,deepseek-chat,simple_gen,within,boolean,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,1422,deepseek-chat,simple_gen,consignee,string,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,1426,deepseek-chat,diverse_gen,consignee,string,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,1916,deepseek-chat,simple_gen,endPlace,string,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,1920,deepseek-chat,diverse_gen,endPlace,string,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,1922,deepseek-chat,simple_gen,startPlace,string,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,1926,deepseek-chat,diverse_gen,startPlace,string,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,1929,deepseek-chat,simple_gen,departureTime,string,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,1933,deepseek-chat,diverse_gen,departureTime,string,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,1937,deepseek-chat,simple_gen,confortClass,integer,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,1941,deepseek-chat,diverse_gen,confortClass,integer,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,1947,deepseek-chat,simple_gen,economyClass,integer,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,1951,deepseek-chat,diverse_gen,economyClass,integer,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,1962,deepseek-chat,diverse_gen,averageSpeed,integer,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,4436,deepseek-chat,simple_gen,stayTime,integer,,,abstained,abstained: LLM emitted no value
llm-communication-20260505-122355.log,4440,deepseek-chat,diverse_gen,stayTime,integer,,,abstained,abstained: LLM emitted no value
